Matrix Size; Time Sending Data; Time Processing; Time Recovering Data; Time Send/Recive Processing; Total Time; Process Number
ETHERNET

4000;0,079975;11,539652;0,054331;0,247649;11,673958;4
4000;0,073407;5,377218;0,052774;0,397226;5,503399;8
4000;0,063013;2,635599;0,050861;0,270683;2,749473;16

8000;0,263368;94,782530;0,184402;1,033429;95,230300;4
8000;0,233519;42,951807;0,174480;1,064057;43,359806;8
8000;0,203265;21,448493;0,165800;1,222742;21,817558;16


INFINIBANG

4000;0,440125;11,834894;0,762982;1,687796;13,038001;4
4000;0,526773;7,407332;2,945394;2,216125;10,879499;8
4000;0.734199;5.068096;6.906427;2.410199;12.708722;16


8000;1,685956;90,075647;1,960427;6,193262;93,722030;4
8000;1,959265;49,110482;3,786420;7,576342;54,856167;8
8000;2,000752;29,414677;4,620563;7,602145;36,035992;16